"filename", "language", "Shell Script", "SQL", "Properties", "YAML", "Docker", "Markdown", "Makefile", "Go", "JSON", "comment", "blank", "total"
"/home/user/go/src/marketplace/internal/app/repository/pgrepo/pgrepo_order_state.go", "Go", 0, 0, 0, 0, 0, 0, 0, 156, 0, 23, 23, 202
"/home/user/go/src/marketplace/internal/app/repository/pgrepo/pgrepo_product.go", "Go", 0, 0, 0, 0, 0, 0, 0, 180, 0, 23, 23, 226
"/home/user/go/src/marketplace/internal/app/repository/pgrepo/pgrepo_provider.go", "Go", 0, 0, 0, 0, 0, 0, 0, 157, 0, 23, 23, 203
"/home/user/go/src/marketplace/internal/app/repository/pgrepo/pgrepo_user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 189, 0, 26, 27, 242
"/home/user/go/src/marketplace/internal/app/repository/pgrepo/pgrepo_utils.go", "Go", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 13, 116
"/home/user/go/src/marketplace/internal/app/services/service_interfaces.go", "Go", 0, 0, 0, 0, 0, 0, 0, 49, 0, 6, 9, 64
"/home/user/go/src/marketplace/internal/app/services/service_item.go", "Go", 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 10, 41
"/home/user/go/src/marketplace/internal/app/services/service_order.go", "Go", 0, 0, 0, 0, 0, 0, 0, 43, 0, 2, 12, 57
"/home/user/go/src/marketplace/internal/app/services/service_order_state.go", "Go", 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 10, 40
"/home/user/go/src/marketplace/internal/app/services/service_product.go", "Go", 0, 0, 0, 0, 0, 0, 0, 28, 0, 2, 10, 40
"/home/user/go/src/marketplace/internal/app/services/service_provider.go", "Go", 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 10, 41
"/home/user/go/src/marketplace/internal/app/services/service_token.go", "Go", 0, 0, 0, 0, 0, 0, 0, 68, 0, 4, 14, 86
"/home/user/go/src/marketplace/internal/app/services/service_user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 45, 0, 2, 11, 58
"/home/user/go/src/marketplace/internal/app/transport/httpserver/auth_mw.go", "Go", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 6, 55
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 66, 0, 22, 14, 102
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_item.go", "Go", 0, 0, 0, 0, 0, 0, 0, 149, 0, 52, 17, 218
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_order.go", "Go", 0, 0, 0, 0, 0, 0, 0, 110, 0, 37, 19, 166
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_order_state.go", "Go", 0, 0, 0, 0, 0, 0, 0, 81, 0, 34, 18, 133
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_product.go", "Go", 0, 0, 0, 0, 0, 0, 0, 81, 0, 32, 18, 131
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_provider.go", "Go", 0, 0, 0, 0, 0, 0, 0, 81, 0, 32, 19, 132
"/home/user/go/src/marketplace/internal/app/transport/httpserver/handler_user.go", "Go", 0, 0, 0, 0, 0, 0, 0, 108, 0, 28, 14, 150
"/home/user/go/src/marketplace/internal/app/transport/httpserver/interfaces.go", "Go", 0, 0, 0, 0, 0, 0, 0, 53, 0, 8, 11, 72
"/home/user/go/src/marketplace/internal/app/transport/httpserver/model.go", "Go", 0, 0, 0, 0, 0, 0, 0, 132, 0, 11, 22, 165
"/home/user/go/src/marketplace/internal/app/transport/httpserver/password_helpers.go", "Go", 0, 0, 0, 0, 0, 0, 0, 17, 0, 2, 6, 25
"/home/user/go/src/marketplace/internal/app/transport/httpserver/server.go", "Go", 0, 0, 0, 0, 0, 0, 0, 146, 0, 33, 25, 204
"/home/user/go/src/marketplace/internal/app/transport/httpserver/services.go", "Go", 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 3, 34
"/home/user/go/src/marketplace/internal/app/transport/httpserver/utils.go", "Go", 0, 0, 0, 0, 0, 0, 0, 102, 0, 7, 16, 125
"/home/user/go/src/marketplace/internal/app/transport/middlewares/auth.go", "Go", 0, 0, 0, 0, 0, 0, 0, 47, 0, 2, 10, 59
"/home/user/go/src/marketplace/internal/app/transport/middlewares/logger.go", "Go", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 5, 26
"/home/user/go/src/marketplace/internal/app/transport/middlewares/request_id.go", "Go", 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 3, 16
"/home/user/go/src/marketplace/internal/pkg/client/client.go", "Go", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/home/user/go/src/marketplace/internal/pkg/config/config.go", "Go", 0, 0, 0, 0, 0, 0, 0, 35, 0, 10, 9, 54
"/home/user/go/src/marketplace/internal/pkg/pg/pg.go", "Go", 0, 0, 0, 0, 0, 0, 0, 40, 0, 33, 11, 84
"/home/user/go/src/marketplace/internal/pkg/utils/jwt.go", "Go", 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 6, 30
"/home/user/go/src/marketplace/internal/pkg/utils/lvl.go", "Go", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"Total", "-", 12, 81, 5, 799, 18, 118, 18, 5149, 1080, 759, 733, 8772
